                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.60287,                0.42398,                 1.0323,                0.94173,                0.95634,                 0.9817,                0.84039,                0.57265,                0.32181,                 0.9345,              0.0005546,              0.0005546,              0.0005546
                     75,                0.60255,                 0.4248,                  1.033,                0.94218,                0.95861,                0.98215,                0.84233,                0.56779,                0.32003,                0.93154,              0.0005348,              0.0005348,              0.0005348
                     76,                0.60353,                0.42329,                 1.0342,                0.94522,                0.95294,                0.98234,                0.84217,                0.56676,                0.32098,                0.92888,               0.000515,               0.000515,               0.000515
                     77,                0.59462,                0.41629,                  1.025,                0.94023,                0.95532,                0.98141,                0.84293,                0.57239,                0.32035,                0.92595,              0.0004952,              0.0004952,              0.0004952
                     78,                0.59913,                 0.4197,                 1.0301,                0.94632,                 0.9526,                0.98137,                0.84166,                0.57086,                 0.3186,                0.93044,              0.0004754,              0.0004754,              0.0004754
                     79,                0.59912,                0.42184,                 1.0295,                0.94418,                0.95403,                0.98141,                0.84151,                0.57193,                0.32009,                 0.9272,              0.0004556,              0.0004556,              0.0004556
                     80,                0.59214,                0.41327,                 1.0274,                0.94678,                0.95017,                0.98257,                0.84288,                0.57035,                0.31664,                0.93859,              0.0004358,              0.0004358,              0.0004358
                     81,                0.59082,                0.41098,                 1.0234,                0.94984,                0.95016,                0.98193,                0.84408,                0.57224,                0.31491,                0.92999,               0.000416,               0.000416,               0.000416
                     82,                0.58801,                0.40952,                 1.0218,                0.94855,                0.94732,                0.98076,                0.84104,                0.57149,                 0.3168,                0.93598,              0.0003962,              0.0003962,              0.0003962
                     83,                0.58896,                0.40734,                 1.0228,                0.94835,                0.94988,                0.98246,                0.84298,                0.56845,                0.31232,                0.92923,              0.0003764,              0.0003764,              0.0003764
                     84,                0.58587,                0.40729,                 1.0234,                0.95018,                0.95029,                 0.9821,                0.84264,                0.56945,                0.31541,                0.93495,              0.0003566,              0.0003566,              0.0003566
                     85,                0.58138,                0.40666,                 1.0205,                 0.9475,                0.95242,                0.98244,                0.84447,                 0.5619,                 0.3155,                0.92606,              0.0003368,              0.0003368,              0.0003368
                     86,                0.58309,                0.40321,                 1.0208,                0.95149,                0.95069,                0.98159,                0.84451,                0.56413,                0.31431,                0.92604,               0.000317,               0.000317,               0.000317
                     87,                 0.5782,                0.40037,                 1.0188,                0.94779,                0.95159,                0.98131,                 0.8429,                 0.5647,                0.31646,                0.93037,              0.0002972,              0.0002972,              0.0002972
                     88,                0.57943,                0.40176,                 1.0225,                0.94851,                0.95052,                0.98197,                0.84078,                0.56606,                0.31642,                0.93502,              0.0002774,              0.0002774,              0.0002774
                     89,                0.57925,                0.39818,                 1.0181,                 0.9463,                 0.9512,                0.98092,                0.84246,                0.56682,                0.31698,                0.92911,              0.0002576,              0.0002576,              0.0002576
                     90,                0.57667,                0.39883,                  1.021,                0.94585,                0.95277,                0.98165,                0.84267,                 0.5691,                0.31535,                0.93455,              0.0002378,              0.0002378,              0.0002378
                     91,                0.54426,                0.34798,                0.99862,                0.95425,                0.94185,                0.98059,                0.83361,                0.57982,                0.31933,                0.93732,               0.000218,               0.000218,               0.000218
                     92,                  0.528,                0.33483,                0.98756,                0.94743,                0.94781,                0.98055,                0.83602,                0.57775,                0.32142,                0.93606,              0.0001982,              0.0001982,              0.0001982
                     93,                0.52381,                0.33209,                0.98593,                0.94643,                0.95068,                0.98177,                0.83834,                0.57424,                 0.3199,                0.93885,              0.0001784,              0.0001784,              0.0001784
                     94,                0.52168,                0.32722,                0.98246,                0.94726,                0.95084,                0.98124,                0.84095,                0.57351,                0.31751,                0.93861,              0.0001586,              0.0001586,              0.0001586
                     95,                0.51314,                0.32171,                0.97813,                0.95021,                 0.9476,                0.98114,                0.84189,                0.57123,                0.31839,                0.93676,              0.0001388,              0.0001388,              0.0001388
                     96,                0.50906,                0.31609,                0.97679,                0.95029,                0.94921,                0.98112,                 0.8422,                0.56948,                0.31852,                0.93745,               0.000119,               0.000119,               0.000119
                     97,                0.50887,                0.31866,                0.98021,                0.94821,                0.95021,                0.98115,                0.84232,                0.57207,                0.31652,                0.94043,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.50387,                0.31369,                0.97773,                0.94789,                0.95045,                0.98103,                0.84228,                0.57295,                 0.3161,                0.94145,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.50422,                0.31563,                0.97655,                0.94643,                 0.9536,                0.98168,                0.84273,                0.57262,                  0.316,                0.94024,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.50313,                0.31498,                0.97254,                0.94666,                0.95178,                0.98179,                0.84265,                0.57135,                0.31635,                0.93861,               3.98e-05,               3.98e-05,               3.98e-05
